Hour,Time,Movement,Light,Temperature,Humidity,Sound,CO2,TVOC
0,12:46:01 AM,55,352,30.61,34,720,407,1
1,1:00:00 AM,266,86,30.03,35,3428,664,40
2,2:00:00 AM,0,0,29.70,36,3063,515,17
3,3:00:00 AM,16,0,29.53,36,1983,433,4
4,4:00:00 AM,21,0,29.50,37,1150,428,4
5,5:00:00 AM,33,21,29.43,37,590,422,3
6,6:00:00 AM,40,188,29.58,36,1207,409,1
7,7:00:00 AM,3,145,29.96,36,2222,410,1
8,8:00:00 AM,87,107,30.34,35,3262,512,16
9,9:00:00 AM,99,113,30.69,35,3275,790,59
10,10:00:00 AM,6,105,30.85,34,2319,475,11
