Time - Hour,MIN of Time,SUM of Movement,AVERAGE of Light,AVERAGE of Temperature,AVERAGE of Humidity,SUM of Sound,AVERAGE of CO2,AVERAGE of TVOC
1,1:30:01 AM,63,182,28.12,31,452,408,1
2,2:00:00 AM,459,50,28.33,32,71,533,20
3,3:00:00 AM,32,1,28.18,33,72,559,24
4,4:00:00 AM,0,1,28.06,33,71,589,29
5,5:00:00 AM,66,1,27.92,33,79,585,28
6,6:00:00 AM,73,19,27.94,33,79,602,30
7,7:00:00 AM,13,207,28.07,32,97,575,26
8,8:00:00 AM,86,157,28.42,32,249,738,51
9,9:00:00 AM,37,102,28.83,31,143,1537,222
