Time,Movement,Light,Temperature,Humidity,Sound
1:13:27 AM,0,333,24.30,36,0
1:13:28 AM,0,333,24.30,36,0
1:13:29 AM,0,333,24.30,36,0
1:13:30 AM,0,333,24.30,36,0
1:13:31 AM,0,333,24.30,36,0
1:13:32 AM,0,333,24.30,36,0
1:13:33 AM,0,333,24.30,36,0
1:13:34 AM,0,333,24.30,36,0
1:13:35 AM,0,333,24.30,36,0
1:13:36 AM,0,333,24.30,36,0
1:13:37 AM,0,333,24.30,36,0
1:13:38 AM,0,333,24.30,36,0
1:13:39 AM,0,334,24.30,36,0
1:13:40 AM,0,334,24.30,36,0
1:13:41 AM,0,334,24.30,36,0
1:13:42 AM,0,334,24.30,36,0
1:13:43 AM,0,334,24.30,36,0
1:13:44 AM,0,333,24.30,36,0
1:13:45 AM,0,334,24.30,36,0
1:13:46 AM,0,334,24.30,36,0
1:13:47 AM,0,334,24.30,36,1
1:13:48 AM,0,334,24.30,36,1
1:13:49 AM,0,334,24.30,36,0
1:13:50 AM,0,334,24.30,36,0
1:13:51 AM,0,333,24.30,36,0
1:13:52 AM,0,334,24.30,36,0
1:13:53 AM,0,333,24.30,36,0
1:13:54 AM,0,332,24.30,36,0
1:13:55 AM,0,332,24.30,36,0
1:13:56 AM,0,332,24.30,36,0
1:13:57 AM,0,333,24.30,36,0
1:13:58 AM,0,333,24.30,36,0
1:13:59 AM,0,333,24.30,36,0
1:14:00 AM,0,333,24.30,36,0
1:14:01 AM,0,333,24.30,36,0
1:14:02 AM,1,334,24.30,36,0
1:14:03 AM,1,334,24.30,36,0
1:14:04 AM,1,334,24.30,36,0
1:14:05 AM,0,334,24.30,36,0
1:14:06 AM,0,334,24.30,36,0
1:14:07 AM,0,334,24.30,36,1
1:14:08 AM,0,334,24.30,36,0
1:14:09 AM,0,335,24.30,36,0
1:14:10 AM,0,335,24.30,36,0
1:14:11 AM,0,334,24.30,36,0
1:14:12 AM,0,334,24.30,36,0
1:14:13 AM,0,334,24.30,36,0
1:14:14 AM,0,334,24.30,36,0
1:14:15 AM,0,334,24.30,36,0
1:14:16 AM,0,334,24.30,36,0
1:14:17 AM,0,334,24.30,36,0
1:14:18 AM,0,334,24.30,36,0
1:14:19 AM,0,334,24.30,36,0
1:14:20 AM,0,334,24.30,36,1
1:14:21 AM,0,334,24.30,36,0
1:14:22 AM,0,334,24.30,36,0
1:14:23 AM,0,334,24.30,36,0
1:14:24 AM,0,334,24.30,36,0
1:14:25 AM,0,334,24.30,36,0
1:14:26 AM,0,334,24.30,36,0
1:14:27 AM,0,334,24.30,36,0
1:14:28 AM,0,333,24.30,36,0
1:14:29 AM,0,334,24.30,36,0
1:14:30 AM,0,334,24.30,36,0
1:14:31 AM,0,333,24.30,36,0
1:14:32 AM,0,334,24.30,36,0
1:14:33 AM,0,334,24.30,36,0
1:14:34 AM,0,334,24.30,36,0
1:14:35 AM,0,335,24.30,36,0
1:14:36 AM,1,334,24.30,36,0
1:14:37 AM,1,333,24.30,36,0
1:14:38 AM,1,228,24.30,36,0
1:14:39 AM,1,273,24.30,36,0
1:14:40 AM,1,259,24.30,36,0
