Hour,Time,Movement,Light,Temperature,Humidity,Sound,CO2,TVOC
0,12:41:01 AM,88,130,1060,30.56,31.21,402,0
1,1:00:00 AM,160,48,3099,30.28,32.00,440,6
2,2:00:00 AM,12,0,1479,30.06,32.00,488,13
3,3:00:00 AM,24,0,534,29.87,32.00,516,17
4,4:00:00 AM,34,0,178,29.94,31.88,608,31
5,5:00:00 AM,13,27,202,29.89,31.01,582,27
6,6:00:00 AM,30,217,187,30.09,31.00,527,19
7,7:00:00 AM,30,151,210,30.24,31.00,547,22
8,8:00:00 AM,19,123,216,30.54,31.00,526,19
9,9:00:00 AM,123,118,446,31.08,30.45,468,10
