Hour,Time,Movement,Light,Temperature,Humidity,Sound,CO2,TVOC
1,1:59:59 AM,193,77247,"57,986.60",66039,37,3008492,627527
2,2:59:59 AM,14,638,"95,621.10",114847,75,6955265,2286969
3,3:59:59 AM,20,700,"94,704.70",123631,70,7283783,2829483
4,4:59:59 AM,38,847,"94,005.50",133711,54,7513715,3225880
5,5:59:59 AM,80,96019,"93,536.30",136060,54,7262793,2800777
6,6:59:59 AM,18,754687,"94,672.40",139359,51,7411040,3034283
7,7:59:59 AM,45,609764,"95,703.30",143392,34,7451654,3112690
8,8:59:59 AM,41,435484,"97,345.20",145469,48,7436856,3077575
9,9:25:47 AM,256,159130,"42,745.40",58680,41,2743467,756912
