Time,Movement,Light,Temperature,Humidity,Sound
00:02:05,0,895,22.80,37.00,1
00:02:06,0,894,22.80,37.00,1
00:02:07,0,895,22.80,37.00,1
00:02:08,0,894,22.80,37.00,1
00:00:00,0,895,22.80,37.00,1
00:00:01,0,895,22.80,37.00,1
00:00:02,0,894,22.80,37.00,1
00:00:03,0,895,22.80,37.00,1
00:00:04,0,894,22.80,37.00,1
00:00:05,0,895,22.80,37.00,1
00:00:06,0,895,22.80,37.00,1
00:00:07,0,895,22.80,37.00,1
00:00:08,0,894,22.80,37.00,1
00:00:09,0,896,22.80,37.00,1
00:00:10,0,894,22.80,37.00,1
00:00:11,0,895,22.80,37.00,1
00:00:12,0,894,22.80,37.00,1
00:00:13,0,895,22.80,37.00,1
00:00:14,0,895,22.90,37.00,1
00:00:15,0,895,22.90,37.00,1
00:00:16,0,895,22.90,37.00,1
00:00:17,0,895,22.90,37.00,1
00:00:18,0,895,22.90,37.00,1
00:00:19,0,896,22.90,37.00,1
00:00:20,0,895,22.90,37.00,1
00:00:21,0,896,22.90,37.00,1
00:00:22,0,894,22.90,37.00,1
00:00:23,0,896,22.90,37.00,1
00:00:24,0,895,22.90,37.00,1
00:00:25,1,895,22.90,37.00,1
00:00:26,1,860,22.90,37.00,1
00:00:27,1,894,22.90,37.00,1
00:00:28,1,797,22.90,37.00,1
00:00:29,1,804,22.90,37.00,1
00:00:30,1,831,22.90,38.00,1
00:00:31,1,801,22.90,38.00,1
00:00:32,1,849,22.90,37.00,1
00:00:33,1,860,22.90,37.00,1
00:00:34,1,898,22.90,37.00,0
00:00:35,1,903,22.90,37.00,1
00:00:36,1,900,22.90,37.00,1
00:00:37,1,902,22.90,37.00,1
00:00:38,1,900,22.90,37.00,1
00:00:39,1,902,22.90,37.00,1
00:00:40,1,900,22.90,37.00,1
00:00:41,1,902,22.90,37.00,1
00:00:42,1,899,22.90,37.00,1
00:00:43,1,902,22.90,37.00,1
00:00:44,1,898,22.90,37.00,1
00:00:46,1,902,22.90,37.00,1
00:00:47,1,899,22.90,37.00,1
00:00:48,1,902,22.90,37.00,1
00:00:49,1,898,22.90,37.00,1
00:00:50,1,901,22.90,37.00,1
00:00:51,1,899,22.90,37.00,1
00:00:52,1,902,22.90,37.00,1
00:00:53,1,898,22.90,37.00,1
00:00:54,1,902,22.90,37.00,1
00:00:55,1,899,22.90,37.00,1
00:00:56,1,902,22.90,37.00,1
00:00:57,1,900,23.00,37.00,1
00:00:58,1,902,23.00,37.00,1
00:00:59,1,899,22.90,37.00,1
00:01:00,1,903,22.90,37.00,1
00:01:01,1,899,22.90,37.00,1
00:01:02,1,902,22.90,37.00,1
00:01:03,1,900,23.00,37.00,1
00:01:04,1,902,23.00,37.00,1
00:01:05,1,900,22.90,37.00,1
00:01:06,1,902,22.90,37.00,1
00:01:07,1,900,23.00,37.00,1
00:01:08,1,902,23.00,37.00,1
00:01:09,1,900,22.90,37.00,1
00:01:10,1,903,22.90,37.00,1
00:01:11,1,900,23.00,37.00,1
00:01:12,1,902,23.00,37.00,1
00:01:13,1,900,22.90,37.00,1
00:01:14,0,902,22.90,37.00,1
00:01:15,0,900,23.00,37.00,0
00:01:16,0,902,23.00,37.00,1
00:01:17,0,899,23.00,37.00,1
00:01:18,0,902,23.00,37.00,1
00:01:19,0,900,22.90,37.00,1
00:01:20,0,902,22.90,37.00,1
00:01:21,0,899,23.00,37.00,1
00:01:22,0,902,23.00,37.00,1
00:01:23,0,899,23.00,37.00,1
00:01:24,0,902,23.00,37.00,1
00:01:25,0,900,23.00,37.00,1
00:01:26,0,902,23.00,37.00,1
00:01:27,0,900,23.00,37.00,0
00:01:28,0,902,23.00,37.00,1
00:01:29,0,899,23.00,37.00,1
00:01:30,0,902,23.00,37.00,1
00:01:31,0,900,22.90,37.00,1
00:01:32,0,903,22.90,37.00,1
00:01:34,0,900,23.00,37.00,1
00:01:35,0,902,23.00,37.00,1
00:01:36,0,900,22.90,37.00,1
00:01:37,0,902,22.90,37.00,1
00:01:38,0,900,23.00,37.00,1
00:01:39,0,902,23.00,37.00,1
00:01:40,0,900,23.00,37.00,1
00:01:41,0,902,23.00,37.00,1
00:01:42,0,900,22.90,37.00,1
00:01:43,0,903,22.90,37.00,1
00:01:44,0,900,23.00,37.00,1
00:01:45,0,903,23.00,37.00,1
00:01:46,0,900,23.00,37.00,1
00:01:47,0,902,23.00,37.00,1
00:01:48,0,899,22.90,37.00,1
00:01:49,0,902,22.90,37.00,1
00:01:50,0,900,23.00,37.00,1
00:01:51,0,902,23.00,37.00,1
00:01:52,0,900,23.00,37.00,1
00:01:53,0,902,23.00,37.00,1
00:01:54,0,900,22.90,37.00,1
00:01:55,0,903,22.90,37.00,1
00:01:56,0,900,23.00,37.00,1
00:01:57,0,902,23.00,37.00,1
00:01:58,0,899,22.90,37.00,1
00:01:59,0,902,22.90,37.00,1
00:02:00,0,900,23.00,37.00,1
00:02:01,0,902,23.00,37.00,1
00:02:02,0,898,23.00,37.00,1
00:02:03,0,902,23.00,37.00,1
00:02:04,0,900,22.90,37.00,1
00:02:05,0,902,22.90,37.00,1
00:02:06,0,900,23.00,37.00,1
00:02:07,0,902,23.00,37.00,1
00:02:08,0,899,23.00,37.00,0
