Time,Movement,Light,Temperature,Humidity,Sound
00:00:31,0,62,26.00,30.00,1
00:00:32,1,65,26.00,30.00,1
00:00:33,1,62,26.00,30.00,1
00:00:00,1,64,26.00,30.00,1
00:00:01,1,62,26.00,30.00,1
00:00:02,1,66,26.00,30.00,1
00:00:03,1,62,26.00,30.00,1
00:00:04,1,66,26.00,30.00,1
00:00:05,1,61,26.00,30.00,1
00:00:06,1,65,26.00,30.00,1
00:00:07,1,61,26.00,30.00,1
00:00:08,1,65,26.00,30.00,1
00:00:09,1,61,26.00,30.00,1
00:00:10,1,64,26.00,30.00,1
00:00:11,1,62,26.00,30.00,1
00:00:12,1,66,26.00,30.00,1
00:00:13,1,62,26.00,30.00,1
00:00:14,1,65,25.90,30.00,1
00:00:15,1,61,25.90,30.00,1
00:00:16,1,66,26.00,30.00,1
00:00:17,1,62,26.00,30.00,1
00:00:18,1,65,25.90,30.00,1
00:00:19,1,62,25.90,30.00,1
00:00:20,1,65,25.90,30.00,1
00:00:21,1,61,25.90,30.00,1
00:00:22,1,64,25.90,30.00,1
00:00:23,1,61,25.90,30.00,1
00:00:24,1,64,25.90,30.00,0
00:00:25,1,61,25.90,30.00,1
00:00:26,1,65,25.90,30.00,1
00:00:27,1,61,25.90,30.00,1
00:00:28,1,65,25.90,30.00,1
00:00:29,1,61,25.90,30.00,1
00:00:30,1,65,25.90,30.00,1
00:00:31,1,61,25.90,30.00,1
00:00:32,1,64,25.90,30.00,1
00:00:33,1,61,25.90,30.00,1
00:00:34,1,65,25.90,30.00,1
00:00:35,1,61,25.90,30.00,1
00:00:36,1,65,25.90,30.00,1
00:00:37,1,61,25.90,30.00,1
00:00:38,1,64,25.90,30.00,1
00:00:39,1,61,25.90,30.00,1
00:00:40,1,64,25.90,30.00,1
00:00:41,1,61,25.90,30.00,1
00:00:42,1,65,25.90,30.00,1
00:00:43,1,62,25.90,30.00,1
00:00:44,1,65,25.90,30.00,1
00:00:45,1,61,25.90,30.00,1
00:00:47,1,64,25.90,30.00,1
00:00:48,1,60,25.90,30.00,1
00:00:49,1,63,25.90,30.00,1
00:00:50,1,60,25.90,30.00,1
00:00:51,1,64,25.90,30.00,1
00:00:52,1,60,25.90,30.00,1
00:00:53,1,64,25.90,30.00,1
00:00:54,1,60,25.90,30.00,1
00:00:55,1,64,25.90,30.00,1
00:00:56,1,60,25.90,30.00,1
00:00:57,1,64,25.90,30.00,1
00:00:58,1,60,25.90,30.00,1
00:00:59,1,63,25.90,30.00,0
00:01:00,1,60,25.90,30.00,1
00:01:01,1,63,25.90,30.00,0
